1 x PAK Hamburger-Brbtchen mit Sesam 6x509, ,2.15,2.5 %,2.20
1 x BTL Nectaﬂor Walnusskerne Bruch 750 g, ,13.17,2.5 %,13.50
1 x 2PAK Zweifel Chips Salt & Vinegar 175 g, ,3.80,2.5 %,7.80
1 x L Florin Rapsél 1 |, ,3.85,2.5 %,3.95
2 x PAK Reisnudeln 5 Mm Le Dragon 400 g, ,1.85,2.5 %,3.80
1 x 5BTL Demae Ramen Meeresfrﬂchte Nissin 100 g, ,1.35,2.5 %,6.90
 , , ,  ,  
1 x PAK Rinds— und Lamm-Hackﬂeisch 1 kg,17.6 %,11.41,2.5 %,11.70A
1 x PAK Rinds- und Schweins-Hackﬂeisch 1 kg, ,12.68,2.5 %,13.00
1.020 KG Kalbs-Haxen,18.4 %,19.42,2.5 %,20.30A
3.010 KG Frischer Speck, ,11.41,2.5 %,35.22
1.066 KG Poulet Brust Schweiz ca. 1 kg, ,20.88,2.5 %,22.81
"1.208 KG Poulet-Schenkelsteak o/Knochen ca. 1,1kg", ,14.93,2.5 %,18.48
 , , , , 
0.555 KG Lachsﬁlet Norwegen mit Haut Trim D,42.4 %,13.61,2.5 %,7.74A
0.535 KG Lachsﬁlet Norwegen mit Haut Trim D,42.4 %,13.61,2.5 %,7.47A
0.755 KG Lachsﬁlet Norwegen mit Haut Trim D,42.4 %,13.61,2.5 %,10.53A
3 x ST Lachseier 100 g, ,16.59,2.5 %,51.00
 , , , , 
3 x 10ST Freilandeier CH datiert 53+ 9 10x, ,0.47,2.5 %,14.55
2 x 6ST Eier CH Gekocht&Geférbt BH 539+ 6x, ,0.49,2.5 %,6.00
1 x ST Saurer-Halbrahm 15% Emmi 450 g,16.4 %,2.49,2.5 %,2.55A
 , , , , 
1 x SCH Kiwi Gold Schale 3 Stk., ,2.10,2.5 %,2.15
1 x ZST Papaya 2x, ,3.76,2.5 %,7.70
1 x ST Physalis-Kirschen 100 g, ,1.85,2.5 %,1.90
1.795 KG Orangen Blond Kal. 4 en gros, ,1.71,2.5 % 9,3.14
1 x ST Zitronen Netz 1 kg, ,2.49,2.5 %,2.55
0.900 KG Auberginen Detail, ,3.02,2.5 %,2.79
1.136 KG Broccoli Detail, ,2.88,2.5 %,3.35
0.930 KG China-Kohl Detail,13.6 %,1.85,2.5 %,1.77A
0.860 KG Chin'a-Kohl Detail,13.6 %,1.85,2.5 %,1.63A
1 x ST Gurken, ,0.93,2.5 % .,0.95
1 x NTZ Knoblauch 200 g, ,1.61,2.5 %,1.65
0.965 KG Peperoni Rot Detail, ,3.56,2.5 %,3:52
2 x PAK Radiesli Bund, ,1.27,2.5 %,2.60
1.358 KG Zucchetti Detail, ,2.44,2.5 %,3.40
1 x ST Basilikum scharf 100 g, ,3.71,2.5 %,3.80
2 x ST Gewﬂrzlauchblétter 100 g, ,2.59,2.5 %,5.30
0.105 KG lngwer Detail, ,8.88,2.5 %,0.96
1.844 KG Cherry-Tomaten Rispen en gros, ,5.17,2.5 %,4.47
 , , , , 
 ,44.3 %,1.90,2.5 %,1.51 A
